;Unnamed: 0;statut_public_prive;nom_etablissement;type_etablissement;ecole_elementaire;section;adresse_1;code_postal;web;telephone;Latitude;Longitude;nombre_d_eleves;montessori;bilingue;religieux;nb_voie;rue;type;nb_voie_100;popup
0;0;Municipal;arbre sec;crèche collective;;creche;17 rue de l'arbre sec;75001;https://www.paris.fr/equipements/creche-collective-municipale-de-l-arbre-sec-3808;142601736;48.859763;2.3419822;46;non;non;non;17;rue de l'arbre sec;rue;117;<a href=https://www.paris.fr/equipements/creche-collective-municipale-de-l-arbre-sec-3808>arbre sec</a><br>Adresse: 17 rue de l'arbre sec<br>cp: 75001
1;1;Public;e.m.pu sourdiere ;Ecole;0.0;maternelle;27 rue de la sourdière;75001;https://www.education.gouv.fr/annuaire/075-paris/paris-1er-arrondissement/etab/empu-sourdiere-27-rue-de-la-sourdiere.html;142613116;48.8666996;2.3327196;103.0;non;non;non;27;rue de la sourdière;rue;127;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-1er-arrondissement/etab/empu-sourdiere-27-rue-de-la-sourdiere.html>e.m.pu sourdiere </a><br>Adresse: 27 rue de la sourdière<br>cp: 75001
2;2;Privé;people & baby caroussel;crèche collective;;creche;48 rue du louvre;75001;https://www.people-and-baby.com/creche/carrousel/99285437;;48.862635;2.3416909;;non;non;non;48;rue du louvre;rue;148;<a href=https://www.people-and-baby.com/creche/carrousel/99285437>people & baby caroussel</a><br>Adresse: 48 rue du louvre<br>cp: 75001
3;3;Municipal;prouvaires;halte-garderie;;creche;8 rue des prouvaires;75001;https://fr.mappy.com/poi/4f43b0fae4b0d0988900bfd5;144768770;48.8614768;2.3443728;25;non;non;non;8;rue des prouvaires;rue;108;<a href=https://fr.mappy.com/poi/4f43b0fae4b0d0988900bfd5>prouvaires</a><br>Adresse: 8 rue des prouvaires<br>cp: 75001
4;4;Municipal;rambuteau;crèche collective;;creche;132 rue rambuteau;75001;https://www.paris.fr/equipements/creche-collective-municipale-132-rue-rambuteau-3481;155343540;48.8629962;2.3464263;66;non;non;non;132;rue rambuteau;rue;232;<a href=https://www.paris.fr/equipements/creche-collective-municipale-132-rue-rambuteau-3481>rambuteau</a><br>Adresse: 132 rue rambuteau<br>cp: 75001
5;5;Public;e.m.pu st germain l'auxerrois ;Ecole;0.0;maternelle;6 rue saint germain l'auxerrois;75001;https://www.paris.fr/equipements/ecole-maternelle-saint-germain-l-auxerrois-388;142363328;48.8582092;2.3453865;145.0;non;non;non;6;rue saint germain l'auxerrois;rue;106;<a href=https://www.paris.fr/equipements/ecole-maternelle-saint-germain-l-auxerrois-388>e.m.pu st germain l'auxerrois </a><br>Adresse: 6 rue saint germain l'auxerrois<br>cp: 75001
6;6;Municipal;saint roch;crèche collective;;creche;26 rue saint roch;75001;https://www.paris.fr/equipements/creche-collective-municipale-saint-roch-16676;144500045;48.8660908;2.3328103;77;non;non;non;26;rue saint roch;rue;126;<a href=https://www.paris.fr/equipements/creche-collective-municipale-saint-roch-16676>saint roch</a><br>Adresse: 26 rue saint roch<br>cp: 75001
7;7;Privé;e.p.pr notre-dame-saint-roch (catholique);Ecole;1.0;maternelle;37 rue saint roch;75001;http://www.ecolesaintroch.fr;142612182;48.8661972;2.332731;414.0;non;non;catholique;37;rue saint roch;rue;137;<a href=http://www.ecolesaintroch.fr>e.p.pr notre-dame-saint-roch (catholique)</a><br>Adresse: 37 rue saint roch<br>cp: 75001
8;8;Public;e.p.pu beauregard ;Ecole;1.0;maternelle;5 rue beauregard;75002;https://www.education.gouv.fr/annuaire/075-paris/paris-2e-arrondissement/etab/eppu-beauregard-5-rue-beauregard.html;142369787;48.8692597;2.348308;181.0;non;non;non;5;rue beauregard;rue;105;<a href=https://www.education.gouv.fr/annuaire/075-paris/paris-2e-arrondissement/etab/eppu-beauregard-5-rue-beauregard.html>e.p.pu beauregard </a><br>Adresse: 5 rue beauregard<br>cp: 75002
9;9;Association;bellan crèche du mail;crèche collective;;creche;15 rue de cléry;75002;https://www.bellan.fr/page-template3?t=15;142609730;48.8678682;2.3456802;62;non;non;non;15;rue de cléry;rue;115;<a href=https://www.bellan.fr/page-template3?t=15>bellan crèche du mail</a><br>Adresse: 15 rue de cléry<br>cp: 75002
